Q40904	Werner Heisenberg | Werner Karl Heisenberg
Q436109	Janet D. Rowley | Janet Rowley
Q441154	Victor Weisskopf | Victor F. Weisskopf
Q442466	Alexander Varshavsky | Alexander J. Varshavsky
Q460847	Mary F. Lyon | Mary Frances Lyon
Q462843	Tu Youyou | Youyou Tu
Q47480	Paul Dirac | Paul Adrien Maurice Dirac
Q493956	Andrea M. Ghez | Andrea Ghez
Q5017731	Lewis C. Cantley | Lewis Cantley
Q503360	Eugene N. Parker | Eugene Newman Parker
Q504021	Gary Ruvkun | Gary B. Ruvkun
Q505514	James E. Till | James Till
Q542242	Ronald Vale | Ronald D. Vale
Q5423976	F. Mason Sones | F. Mason Sones, Jr.
Q56068	Jennifer Doudna | Jennifer A. Doudna
Q5619925	Gurdev S. Khush | Gurdev Khush
Q565544	Anne L’Huillier | Anne L'Huillier
Q57070	Gustav Hertz | Gustav Ludwig Hertz
Q57191	Hans A. Krebs | Hans Adolf Krebs
Q573751	Anthony J. Pawson | Anthony James Pawson
Q6140731	James P. Allison | James Allison
Q62843	Robert E. Kahn | Robert Kahn
Q62857	Maurice Vincent Wilkes | Maurice Wilkes
Q62866	Ivan Edward Sutherland | Ivan Sutherland
Q62888	Andrew Chi-Chih Yao | Andrew Yao
Q669597	Robert Langer | Robert S. Langer
Q6755546	Marc Feldmann | Sir Marc Feldmann
Q68118	Earl W. Sutherland | Earl W. Sutherland, Jr.
Q7085	Niels Bohr | Niels Henrik David Bohr
Q710597	Arthur B. McDonald and the Sudbury Neutrino Observatory Team | Arthur B. McDonald
Q713342	Denis P. Burkitt | Denis Burkitt
Q726376	Dennis Sullivan | Dennis P. Sullivan
Q728331	James Peebles | P. James E. Peebles
Q7296719	Ravinder N. Maini | Sir Ravinder Nath Maini
Q7357582	Roeland Nusse | Roel Nusse
Q740803	W. Richard S. Doll | Richard Doll
Q7426	Ada E. Yonath | Ada Yonath
Q77160	Georges J. Köhler | Georges J. F. Köhler | Georges J.F. Köhler
Q8070836	Zhijian James Chen | Zhijian Chen
Q80910	Robert J. Lefkowitz | Robert Lefkowitz
Q81218	John Gurdon | Sir John B. Gurdon
Q83331	Louis de Broglie | Prince Louis-Victor Pierre Raymond de Broglie
Q83333	James D. Watson | James Dewey Watson
Q836911	Rashid Alievich Sunyaev | Rashid A. Sunyaev
Q89620738	John Jumper | John M. Jumper
Q900586	Robert Roeder | Robert G. Roeder
Q9021	Max Planck | Max Karl Ernst Ludwig Planck
Q903388	Edwin M. Southern | Edwin Southern
Q91435	Franz-Ulrich Hartl | F. Ulrich Hartl
Q92602	Antony Hoare | Tony Hoare
Q92612	Richard Manning Karp | Richard M. Karp
Q92742	Alan Curtis Kay | Alan Kay
Q92743	Vinton Gray Cerf | Vint Cerf
Q950897	Yakov Sinai | Yakov G. Sinai
Q96637578	Joel Francis Habener | Joel Habener
Q983858	Victor Ambros | Victor R. Ambros
