primary_country	prefix_8	variants_in_group	primary_affiliation_name	additional_affiliations	additional_countries	multi_value	affiliation_value_count	country_value_count	award_record_count	award_record_ids
Germany	universi	17	University of Freiburg			no	1	1	2	nobel-000181,nobel-000273
Germany	universi	17	University of Göttingen			no	1	1	5	max_planck_medal-000032,max_planck_medal-000058,max_planck_medal-000072,max_planck_medal-000086,wolf_prize-000004
Germany	universi	17	University of Hamburg			no	1	1	3	max_planck_medal-000023,max_planck_medal-000033,max_planck_medal-000036
Germany	universi	17	University of Heidelberg			no	1	1	7	max_planck_medal-000019,nobel-000060,nobel-000157,nobel-000158,nobel-000286,nobel-000353,nobel-000496
Germany	universi	17	University of Karlsruhe			no	1	1	1	max_planck_medal-000051
Germany	universi	17	University of Leipzig			no	1	1	2	max_planck_medal-000006,max_planck_medal-000010
Germany	universi	17	University of Mainz			no	1	1	1	max_planck_medal-000057
Germany	universi	17	University of Marburg			no	1	1	1	max_planck_medal-000059
Germany	universi	17	University of Munich			no	1	1	1	max_planck_medal-000004
Germany	universi	17	University of Stuttgart			no	1	1	1	max_planck_medal-000054
Germany	universi	17	University of Tübingen			no	1	1	3	crafoord-000017,kyoto_prize-000012,max_planck_medal-000011
Germany	universi	17	University of Würzburg			no	1	1	1	shaw_prize-000084
Italy	institut	3	Institute of Cell Biology Italian National Council of Research			no	1	1	1	lasker_awards-000226
Italy	institut	3	Institute of Cell Biology of the C.N.R.			no	1	1	1	nobel-000567
Italy	institut	3	Institute of Technology			no	1	1	1	nobel-000344
Italy	universi	2	University of Milan			no	1	1	1	wolf_prize-000019
Italy	universi	2	University of Pisa, Italy			no	1	1	1	fields-000049
Japan	institut	2	Institute for Molecular Science			no	1	1	1	kyoto_prize-000072
Japan	institut	2	Institute of Statistical Mathematics			no	1	1	1	kyoto_prize-000070
Japan	kyoto un	3	Kyoto University			no	1	1	18	breakthrough-000100,gairdner_international_award-000299,gairdner_international_award-000303,kyoto_prize-000032,kyoto_prize-000044,kyoto_prize-000082,kyoto_prize-000101,kyoto_prize-000107,lasker_awards-000338,lasker_awards-000365,nobel-000517,nobel-000860,nobel-000931,nobel-001013,shaw_prize-000024,shaw_prize-000058,wolf_prize-000090,wolf_prize-000209
Japan	kyoto un	3	Kyoto University Institute for Advanced Study			no	1	1	1	abel_prize-000028
Japan	kyoto un	3	Kyoto University	J. David Gladstone Institutes; University of California, San Francisco		yes	3	1	1	breakthrough-000020
Japan	national	3	National Cancer Center	Toho University		yes	2	1	1	japan_prize-000032
Japan	national	3	National Institute of Genetics			no	1	1	1	crafoord-000061
Japan	national	3	National Institute of Information and Communications Technology			no	1	1	2	japan_prize-000056,japan_prize-000106
Japan	ogawa la	2	Ogawa Laboratories for Brain Function Research			no	1	1	1	gairdner_international_award-000271
Japan	ogawa la	2	Ogawa Laboratories for Brain Function Research, Hamano Life Science Research Foundation			no	1	1	1	japan_prize-000051
Japan	the univ	2	The University of Osaka			no	1	1	1	nobel-001022
Japan	the univ	2	The University of Tokyo			no	1	1	10	japan_prize-000035,japan_prize-000052,japan_prize-000084,nobel-000746,nobel-000899,wolf_prize-000068,wolf_prize-000099,wolf_prize-000193,wolf_prize-000325,wolf_prize-000370
Japan	universi	2	University of Tokyo and RIKEN			no	1	1	1	breakthrough-000095
Japan	universi	2	University of Tsukuba			no	1	1	2	japan_prize-000036,nobel-000709
Netherlands	universi	3	University of Groningen			no	1	1	1	nobel-000903
Netherlands	universi	3	University of Leiden			no	1	1	1	wolf_prize-000008
Netherlands	universi	3	University of Twente			no	1	1	1	max_planck_medal-000083
New Zealand	universi	2	University of Canterbury			no	1	1	1	crafoord-000062
New Zealand	universi	2	University of Otago			no	1	1	1	gairdner_international_award-000038
Poland	institut	2	Institute of Nuclear Physics, Polish Academy of Sciences			no	1	1	1	max_planck_medal-000043
Poland	institut	2	Institute of Zoology, Warsaw University			no	1	1	1	japan_prize-000048
Russia	institut	2	Institute for Chemical Physics of the Academy of Sciences of the USSR			no	1	1	1	nobel-000293
Russia	institut	2	Institute for Physical Problems			no	1	1	1	max_planck_medal-000026
